New Reg No,Class,StudentName,TeacherName,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Total Mark,Grade
1,Class A,Leon Mckinney,Teacher Tom,,,,,,,,,,,,,
2,Class A,Jeremiah Cabrera,Teacher Tom,,,,,,,,,,,,,
3,Class A,Johnathan King,Teacher Tom,,,,,,,,,,,,,
4,Class A,Nathalie Turner,Teacher Tom,,,,,,,,,,,,,
5,Class A,Roland Lang,Teacher Tom,,,,,,,,,,,,,
6,Class A,Brycen Jacobs,Teacher Tom,,,,,,,,,,,,,
7,Class A,Madalynn Duffy,Teacher Tom,,,,,,,,,,,,,
8,Class A,Jax Turner,Teacher Tom,,,,,,,,,,,,,
9,Class A,Uriel Solis,Teacher Tom,,,,,,,,,,,,,
10,Class A,Tori Houston,Teacher Tom,,,,,,,,,,,,,
11,Class A,Zaiden Frazier,Teacher Tom,,,,,,,,,,,,,
12,Class A,Marlee Krause,Teacher Tom,,,,,,,,,,,,,
13,Class A,Kenya Mcconnell,Teacher Tom,,,,,,,,,,,,,
14,Class A,Cora Frazier,Teacher Tom,,,,,,,,,,,,,
15,Class A,Allen Michael,Teacher Tom,,,,,,,,,,,,,
16,Class A,Jaxson Oneal,Teacher Tom,,,,,,,,,,,,,
17,Class A,Karissa George,Teacher Tom,,,,,,,,,,,,,
18,Class A,Ryan Marks,Teacher Tom,,,,,,,,,,,,,
19,Class A,Macie Schultz,Teacher Tom,,,,,,,,,,,,,
20,Class A,Ashlyn Love,Teacher Tom,,,,,,,,,,,,,
21,Class A,Fletcher Flynn,Teacher Tom,,,,,,,,,,,,,
22,Class A,Xavier Arellano,Teacher Tom,,,,,,,,,,,,,
23,Class A,Myles Stokes,Teacher Tom,,,,,,,,,,,,,
24,Class A,Aliya Rivera,Teacher Tom,,,,,,,,,,,,,
25,Class B,Jordin Kent,Teacher Jane,,,,,,,,,,,,,
26,Class B,Denzel Miller,Teacher Jane,,,,,,,,,,,,,
27,Class B,Zaid Silva,Teacher Jane,,,,,,,,,,,,,
28,Class B,Zackary Bautista,Teacher Jane,,,,,,,,,,,,,
29,Class B,Alijah Callahan,Teacher Jane,,,,,,,,,,,,,
30,Class B,Kayden Morton,Teacher Jane,,,,,,,,,,,,,
31,Class B,Collin Meyers,Teacher Jane,,,,,,,,,,,,,
32,Class B,Karli Mathews,Teacher Jane,,,,,,,,,,,,,
33,Class B,Regina Hansen,Teacher Jane,,,,,,,,,,,,,
34,Class B,Malachi Mata,Teacher Jane,,,,,,,,,,,,,
35,Class B,Agustin James,Teacher Jane,,,,,,,,,,,,,
36,Class B,Phoenix Haney,Teacher Jane,,,,,,,,,,,,,
37,Class B,Nyasia Key,Teacher Jane,,,,,,,,,,,,,
38,Class B,Tamia Leonard,Teacher Jane,,,,,,,,,,,,,
39,Class B,Maren Drake,Teacher Jane,,,,,,,,,,,,,
40,Class B,Koen Frazier,Teacher Jane,,,,,,,,,,,,,
41,Class B,Zane Robinson,Teacher Jane,,,,,,,,,,,,,
42,Class B,Heaven Jenkins,Teacher Jane,,,,,,,,,,,,,
43,Class B,Maritza Flynn,Teacher Jane,,,,,,,,,,,,,
44,Class B,Yazmin Orr,Teacher Jane,,,,,,,,,,,,,
45,Class B,Hadley Bartlett,Teacher Jane,,,,,,,,,,,,,
46,Class C,Juliana Meadows,Teacher Mary,,,,,,,,,,,,,
47,Class C,Diamond Garza,Teacher Mary,,,,,,,,,,,,,
48,Class C,Joanna Mercer,Teacher Mary,,,,,,,,,,,,,
49,Class C,Bailey Kramer,Teacher Mary,,,,,,,,,,,,,
50,Class C,Elaina Gallegos,Teacher Mary,,,,,,,,,,,,,
51,Class C,Cailyn Evans,Teacher Mary,,,,,,,,,,,,,
52,Class C,Cedric Miller,Teacher Mary,,,,,,,,,,,,,
53,Class C,Katrina Bray,Teacher Mary,,,,,,,,,,,,,
54,Class C,Jude Wilkerson,Teacher Mary,,,,,,,,,,,,,
55,Class C,Amara Mueller,Teacher Mary,,,,,,,,,,,,,
56,Class C,Camren Guzman,Teacher Mary,,,,,,,,,,,,,
57,Class C,Alexandria Sparks,Teacher Mary,,,,,,,,,,,,,
58,Class C,Kiley Ray,Teacher Mary,,,,,,,,,,,,,
59,Class C,Ralph Walls,Teacher Mary,,,,,,,,,,,,,
60,Class C,Mathew Harrell,Teacher Mary,,,,,,,,,,,,,
61,Class C,Raul Davenport,Teacher Mary,,,,,,,,,,,,,
62,Class C,Dallas Nielsen,Teacher Mary,,,,,,,,,,,,,
63,Class C,Britney Singleton,Teacher Mary,,,,,,,,,,,,,
64,Class C,Patricia Cabrera,Teacher Mary,,,,,,,,,,,,,
65,Class C,Janet Reed,Teacher Mary,,,,,,,,,,,,,
66,Class C,India Bonilla,Teacher Mary,,,,,,,,,,,,,
67,Class C,Dustin Richard,Teacher Mary,,,,,,,,,,,,,
