New Reg No,Class,StudentName,TeacherName,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Total Mark,Grade
358,Class O,Miya Kaufman,Teacher Albert,2,3,1,0,0,5,3,4,2,3,5,3,
359,Class O,Monica Bowers,Teacher Albert,3,4,2,1,1,6,4,5,3,4,6,4,
360,Class O,Gabriel Delgado,Teacher Albert,4,5,3,2,2,7,5,6,4,5,7,5,
361,Class O,Sylvia Hooper,Teacher Albert,5,6,4,3,3,8,6,7,5,6,8,6,
362,Class O,Craig Cherry,Teacher Albert,6,7,5,4,4,9,7,8,6,7,9,7,
363,Class O,Charity Goodwin,Teacher Albert,7,8,6,5,5,10,8,9,7,8,10,8,
364,Class O,Meadow Zimmerman,Teacher Albert,8,9,7,6,6,11,9,10,8,9,11,9,
365,Class O,Donovan Walter,Teacher Albert,9,10,8,7,7,12,10,11,9,10,12,10,
366,Class O,Dwayne Saunders,Teacher Albert,10,11,9,8,8,13,11,12,10,11,13,11,
367,Class O,Jorden Norton,Teacher Albert,11,12,10,9,9,14,12,13,11,12,14,12,
368,Class O,Anabella Chase,Teacher Albert,12,13,11,10,10,15,13,14,12,13,15,13,
369,Class O,London Velez,Teacher Albert,13,14,12,11,11,16,14,15,13,14,16,14,
370,Class O,Cassius Wang,Teacher Albert,14,15,13,12,12,17,15,16,14,15,17,15,
371,Class O,Phillip Graves,Teacher Albert,15,16,14,13,13,18,16,17,15,16,18,16,
372,Class O,Darion Velazquez,Teacher Albert,16,17,15,14,14,19,17,18,16,17,19,17,
373,Class O,Taliyah Eaton,Teacher Albert,17,18,16,15,15,20,18,19,17,18,20,18,
374,Class O,Dereon Mayo,Teacher Albert,18,19,17,16,16,21,19,20,18,19,21,19,
375,Class O,Elizabeth Holden,Teacher Albert,19,20,18,17,17,22,20,21,19,20,22,20,
376,Class O,Zoe Frost,Teacher Albert,20,21,19,18,18,23,21,22,20,21,23,21,
377,Class O,Gwendolyn Savage,Teacher Albert,21,22,20,19,19,24,22,23,21,22,24,22,
378,Class O,Lyric Le,Teacher Albert,22,23,21,20,20,25,23,24,22,23,25,23,
379,Class O,Chris Douglas,Teacher Albert,23,24,22,21,21,26,24,25,23,24,26,24,
380,Class O,Jamison Bass,Teacher Albert,24,25,23,22,22,27,25,26,24,25,27,25,
381,Class O,Lawson Mccarty,Teacher Albert,25,26,24,23,23,28,26,27,25,26,28,26,
