New Reg No,Class,StudentName,TeacherName,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Total Mark,Grade
25,Class B,Jordin Kent,Teacher Jane,,,,,,,,,,,,,
26,Class B,Denzel Miller,Teacher Jane,,,,,,,,,,,,,
27,Class B,Zaid Silva,Teacher Jane,,,,,,,,,,,,,
28,Class B,Zackary Bautista,Teacher Jane,,,,,,,,,,,,,
29,Class B,Alijah Callahan,Teacher Jane,,,,,,,,,,,,,
30,Class B,Kayden Morton,Teacher Jane,,,,,,,,,,,,,
31,Class B,Collin Meyers,Teacher Jane,,,,,,,,,,,,,
32,Class B,Karli Mathews,Teacher Jane,,,,,,,,,,,,,
33,Class B,Regina Hansen,Teacher Jane,,,,,,,,,,,,,
34,Class B,Malachi Mata,Teacher Jane,,,,,,,,,,,,,
35,Class B,Agustin James,Teacher Jane,,,,,,,,,,,,,
36,Class B,Phoenix Haney,Teacher Jane,,,,,,,,,,,,,
37,Class B,Nyasia Key,Teacher Jane,,,,,,,,,,,,,
38,Class B,Tamia Leonard,Teacher Jane,,,,,,,,,,,,,
39,Class B,Maren Drake,Teacher Jane,,,,,,,,,,,,,
40,Class B,Koen Frazier,Teacher Jane,,,,,,,,,,,,,
41,Class B,Zane Robinson,Teacher Jane,,,,,,,,,,,,,
42,Class B,Heaven Jenkins,Teacher Jane,,,,,,,,,,,,,
43,Class B,Maritza Flynn,Teacher Jane,,,,,,,,,,,,,
44,Class B,Yazmin Orr,Teacher Jane,,,,,,,,,,,,,
45,Class B,Hadley Bartlett,Teacher Jane,,,,,,,,,,,,,
251,Class K,Jeramiah Leblanc,Teacher Jane,,,,,,,,,,,,,
252,Class K,Brodie Salas,Teacher Jane,,,,,,,,,,,,,
253,Class K,Lauryn Padilla,Teacher Jane,,,,,,,,,,,,,
254,Class K,Diego Newman,Teacher Jane,,,,,,,,,,,,,
255,Class K,Leticia Leonard,Teacher Jane,,,,,,,,,,,,,
256,Class K,Mathew Sanford,Teacher Jane,,,,,,,,,,,,,
257,Class K,Regan Pope,Teacher Jane,,,,,,,,,,,,,
258,Class K,Shelby Brennan,Teacher Jane,,,,,,,,,,,,,
259,Class K,Valentina Le,Teacher Jane,,,,,,,,,,,,,
260,Class K,Quinten Ponce,Teacher Jane,,,,,,,,,,,,,
261,Class K,Anderson Holland,Teacher Jane,,,,,,,,,,,,,
262,Class K,Sara Everett,Teacher Jane,,,,,,,,,,,,,
263,Class K,Myah Reid,Teacher Jane,,,,,,,,,,,,,
264,Class K,Pedro Combs,Teacher Jane,,,,,,,,,,,,,
265,Class K,Summer Reid,Teacher Jane,,,,,,,,,,,,,
266,Class K,Keyon Robertson,Teacher Jane,,,,,,,,,,,,,
267,Class K,Riya Boyle,Teacher Jane,,,,,,,,,,,,,
268,Class K,Theresa Woodard,Teacher Jane,,,,,,,,,,,,,
269,Class K,Matias Lester,Teacher Jane,,,,,,,,,,,,,
270,Class K,Cheyanne Gilbert,Teacher Jane,,,,,,,,,,,,,
271,Class K,Iris Mcdaniel,Teacher Jane,,,,,,,,,,,,,
272,Class K,Eddie Henson,Teacher Jane,,,,,,,,,,,,,
273,Class K,Dayanara Sutton,Teacher Jane,,,,,,,,,,,,,
274,Class K,Linda Leonard,Teacher Jane,,,,,,,,,,,,,
331,Class N,Mylee Reilly,Teacher Jane,,,,,,,,,,,,,
332,Class N,Madalyn Johnston,Teacher Jane,,,,,,,,,,,,,
333,Class N,Alvaro Byrd,Teacher Jane,,,,,,,,,,,,,
334,Class N,Raymond Bolton,Teacher Jane,,,,,,,,,,,,,
335,Class N,Delaney Dominguez,Teacher Jane,,,,,,,,,,,,,
336,Class N,Noel Schaefer,Teacher Jane,,,,,,,,,,,,,
337,Class N,Leah Howard,Teacher Jane,,,,,,,,,,,,,
338,Class N,Darian Pugh,Teacher Jane,,,,,,,,,,,,,
339,Class N,Leland Small,Teacher Jane,,,,,,,,,,,,,
340,Class N,Danna Rodgers,Teacher Jane,,,,,,,,,,,,,
341,Class N,Chris Ochoa,Teacher Jane,,,,,,,,,,,,,
342,Class N,Xander Hendricks,Teacher Jane,,,,,,,,,,,,,
343,Class N,Salvatore Mcknight,Teacher Jane,,,,,,,,,,,,,
344,Class N,Reagan Reeves,Teacher Jane,,,,,,,,,,,,,
345,Class N,Mckayla Clay,Teacher Jane,,,,,,,,,,,,,
346,Class N,Ronin Austin,Teacher Jane,,,,,,,,,,,,,
347,Class N,Layne Chen,Teacher Jane,,,,,,,,,,,,,
348,Class N,Bryson Salazar,Teacher Jane,,,,,,,,,,,,,
349,Class N,Rory Stone,Teacher Jane,,,,,,,,,,,,,
350,Class N,Lina Mayo,Teacher Jane,,,,,,,,,,,,,
351,Class N,Elise Finley,Teacher Jane,,,,,,,,,,,,,
352,Class N,Kendall Wolf,Teacher Jane,,,,,,,,,,,,,
353,Class N,Salvatore Trevino,Teacher Jane,,,,,,,,,,,,,
354,Class N,Gabriela Dickerson,Teacher Jane,,,,,,,,,,,,,
355,Class N,Jaliyah Norman,Teacher Jane,,,,,,,,,,,,,
356,Class N,Cristofer Williams,Teacher Jane,,,,,,,,,,,,,
357,Class N,Lilah Paul,Teacher Jane,,,,,,,,,,,,,
