New Reg No,Class,StudentName,TeacherName,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Total Mark,Grade
46,Class C,Juliana Meadows,Teacher Mary,2,2,2,3,3,4,5,2,1,0,0,9,
47,Class C,Diamond Garza,Teacher Mary,3,3,3,4,4,5,6,3,2,1,1,10,
48,Class C,Joanna Mercer,Teacher Mary,4,4,4,5,5,6,7,4,3,2,2,11,
49,Class C,Bailey Kramer,Teacher Mary,5,5,5,6,6,7,8,5,4,3,3,12,
50,Class C,Elaina Gallegos,Teacher Mary,6,6,6,7,7,8,9,6,5,4,4,13,
51,Class C,Cailyn Evans,Teacher Mary,7,7,7,8,8,9,10,7,6,5,5,14,
52,Class C,Cedric Miller,Teacher Mary,8,8,8,9,9,10,11,8,7,6,6,15,
53,Class C,Katrina Bray,Teacher Mary,9,9,9,10,10,11,12,9,8,7,7,16,
54,Class C,Jude Wilkerson,Teacher Mary,10,10,10,11,11,12,13,10,9,8,8,17,
55,Class C,Amara Mueller,Teacher Mary,11,11,11,12,12,13,14,11,10,9,9,18,
56,Class C,Camren Guzman,Teacher Mary,12,12,12,13,13,14,15,12,11,10,10,19,
57,Class C,Alexandria Sparks,Teacher Mary,13,13,13,14,14,15,16,13,12,11,11,20,
58,Class C,Kiley Ray,Teacher Mary,14,14,14,15,15,16,17,14,13,12,12,21,
59,Class C,Ralph Walls,Teacher Mary,15,15,15,16,16,17,18,15,14,13,13,22,
60,Class C,Mathew Harrell,Teacher Mary,16,16,16,17,17,18,19,16,15,14,14,23,
61,Class C,Raul Davenport,Teacher Mary,17,17,17,18,18,19,20,17,16,15,15,24,
62,Class C,Dallas Nielsen,Teacher Mary,18,18,18,19,19,20,21,18,17,16,16,25,
63,Class C,Britney Singleton,Teacher Mary,19,19,19,20,20,21,22,19,18,17,17,26,
64,Class C,Patricia Cabrera,Teacher Mary,20,20,20,21,21,22,23,20,19,18,18,27,
65,Class C,Janet Reed,Teacher Mary,21,21,21,22,22,23,24,21,20,19,19,28,
66,Class C,India Bonilla,Teacher Mary,22,22,22,23,23,24,25,22,21,20,20,29,
