New Reg No,Class,StudentName,TeacherName,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Total Mark,Grade
147,Class G,Lia Reese,Teacher Max,,,,,,,,,,,,,
148,Class G,Elle Lang,Teacher Max,,,,,,,,,,,,,
149,Class G,Zachery Lang,Teacher Max,,,,,,,,,,,,,
150,Class G,Isabela Booth,Teacher Max,,,,,,,,,,,,,
151,Class G,Annie Cowan,Teacher Max,,,,,,,,,,,,,
152,Class G,Jordyn Glenn,Teacher Max,,,,,,,,,,,,,
153,Class G,Ashtyn Galvan,Teacher Max,,,,,,,,,,,,,
154,Class G,Issac Melendez,Teacher Max,,,,,,,,,,,,,
155,Class G,Giovanni Molina,Teacher Max,,,,,,,,,,,,,
156,Class G,Giovanna Gaines,Teacher Max,,,,,,,,,,,,,
157,Class G,Josh Odonnell,Teacher Max,,,,,,,,,,,,,
158,Class G,Bradyn Cochran,Teacher Max,,,,,,,,,,,,,
159,Class G,Lucas Bean,Teacher Max,,,,,,,,,,,,,
160,Class G,Malik Short,Teacher Max,,,,,,,,,,,,,
161,Class G,Gauge Jarvis,Teacher Max,,,,,,,,,,,,,
162,Class G,Chad Jacobs,Teacher Max,,,,,,,,,,,,,
163,Class G,Carmen Humphrey,Teacher Max,,,,,,,,,,,,,
164,Class G,Austin Cabrera,Teacher Max,,,,,,,,,,,,,
165,Class G,Marcos Bender,Teacher Max,,,,,,,,,,,,,
166,Class G,Katie Scott,Teacher Max,,,,,,,,,,,,,
167,Class G,Katelynn Dougherty,Teacher Max,,,,,,,,,,,,,
168,Class G,Manuel Owen,Teacher Max,,,,,,,,,,,,,
169,Class G,Gabriella Sexton,Teacher Max,,,,,,,,,,,,,
170,Class G,Dillon Shepard,Teacher Max,,,,,,,,,,,,,
303,Class M,Rey Caldwell,Teacher Max,,,,,,,,,,,,,
304,Class M,Abram Villarreal,Teacher Max,,,,,,,,,,,,,
305,Class M,Allie Stein,Teacher Max,,,,,,,,,,,,,
306,Class M,Samuel Lawrence,Teacher Max,,,,,,,,,,,,,
307,Class M,Madisyn Harding,Teacher Max,,,,,,,,,,,,,
308,Class M,Taniya Smith,Teacher Max,,,,,,,,,,,,,
309,Class M,Aliyah Kane,Teacher Max,,,,,,,,,,,,,
310,Class M,Kenyon Bowers,Teacher Max,,,,,,,,,,,,,
311,Class M,Reyna Baldwin,Teacher Max,,,,,,,,,,,,,
312,Class M,Cory Sawyer,Teacher Max,,,,,,,,,,,,,
313,Class M,Kaleb Callahan,Teacher Max,,,,,,,,,,,,,
314,Class M,Javon Ford,Teacher Max,,,,,,,,,,,,,
315,Class M,Callie Mays,Teacher Max,,,,,,,,,,,,,
316,Class M,Kyla Castillo,Teacher Max,,,,,,,,,,,,,
317,Class M,Brenna Burch,Teacher Max,,,,,,,,,,,,,
318,Class M,Collin Horton,Teacher Max,,,,,,,,,,,,,
319,Class M,Abram Heath,Teacher Max,,,,,,,,,,,,,
320,Class M,Mareli Gross,Teacher Max,,,,,,,,,,,,,
321,Class M,Gillian Townsend,Teacher Max,,,,,,,,,,,,,
322,Class M,Shayla Carlson,Teacher Max,,,,,,,,,,,,,
323,Class M,Yahir Small,Teacher Max,,,,,,,,,,,,,
324,Class M,Kaydence Briggs,Teacher Max,,,,,,,,,,,,,
325,Class M,Grace Baldwin,Teacher Max,,,,,,,,,,,,,
326,Class M,Johnny Glenn,Teacher Max,,,,,,,,,,,,,
327,Class M,Janiah Burnett,Teacher Max,,,,,,,,,,,,,
328,Class M,Karley Whitaker,Teacher Max,,,,,,,,,,,,,
329,Class M,Pranav Carney,Teacher Max,,,,,,,,,,,,,
330,Class M,Cody Wall,Teacher Max,,,,,,,,,,,,,
