New Reg No,Class,StudentName,TeacherName,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Total Mark,Grade
1,Class A,Leon Mckinney,Teacher Tom,,,,,,,,,,,,,
2,Class A,Jeremiah Cabrera,Teacher Tom,,,,,,,,,,,,,
3,Class A,Johnathan King,Teacher Tom,,,,,,,,,,,,,
4,Class A,Nathalie Turner,Teacher Tom,,,,,,,,,,,,,
5,Class A,Roland Lang,Teacher Tom,,,,,,,,,,,,,
6,Class A,Brycen Jacobs,Teacher Tom,,,,,,,,,,,,,
7,Class A,Madalynn Duffy,Teacher Tom,,,,,,,,,,,,,
8,Class A,Jax Turner,Teacher Tom,,,,,,,,,,,,,
9,Class A,Uriel Solis,Teacher Tom,,,,,,,,,,,,,
10,Class A,Tori Houston,Teacher Tom,,,,,,,,,,,,,
11,Class A,Zaiden Frazier,Teacher Tom,,,,,,,,,,,,,
12,Class A,Marlee Krause,Teacher Tom,,,,,,,,,,,,,
13,Class A,Kenya Mcconnell,Teacher Tom,,,,,,,,,,,,,
14,Class A,Cora Frazier,Teacher Tom,,,,,,,,,,,,,
15,Class A,Allen Michael,Teacher Tom,,,,,,,,,,,,,
16,Class A,Jaxson Oneal,Teacher Tom,,,,,,,,,,,,,
17,Class A,Karissa George,Teacher Tom,,,,,,,,,,,,,
18,Class A,Ryan Marks,Teacher Tom,,,,,,,,,,,,,
19,Class A,Macie Schultz,Teacher Tom,,,,,,,,,,,,,
20,Class A,Ashlyn Love,Teacher Tom,,,,,,,,,,,,,
21,Class A,Fletcher Flynn,Teacher Tom,,,,,,,,,,,,,
22,Class A,Xavier Arellano,Teacher Tom,,,,,,,,,,,,,
23,Class A,Myles Stokes,Teacher Tom,,,,,,,,,,,,,
24,Class A,Aliya Rivera,Teacher Tom,,,,,,,,,,,,,
121,Class F,Ximena Haas,Teacher Tom,,,,,,,,,,,,,
122,Class F,Giovanni Barron,Teacher Tom,,,,,,,,,,,,,
123,Class F,Amiah Stevenson,Teacher Tom,,,,,,,,,,,,,
124,Class F,Heaven Hayes,Teacher Tom,,,,,,,,,,,,,
125,Class F,Esperanza Sandoval,Teacher Tom,,,,,,,,,,,,,
126,Class F,Virginia Ellison,Teacher Tom,,,,,,,,,,,,,
127,Class F,Annabella Ramsey,Teacher Tom,,,,,,,,,,,,,
128,Class F,Amirah Hurley,Teacher Tom,,,,,,,,,,,,,
129,Class F,Alan Bolton,Teacher Tom,,,,,,,,,,,,,
130,Class F,Jordan Ortega,Teacher Tom,,,,,,,,,,,,,
131,Class F,Antoine Maldonado,Teacher Tom,,,,,,,,,,,,,
132,Class F,Justice Greene,Teacher Tom,,,,,,,,,,,,,
133,Class F,Reginald Heath,Teacher Tom,,,,,,,,,,,,,
134,Class F,Marcel Garner,Teacher Tom,,,,,,,,,,,,,
135,Class F,Jaida Castro,Teacher Tom,,,,,,,,,,,,,
136,Class F,Briana Potts,Teacher Tom,,,,,,,,,,,,,
137,Class F,Grace Kidd,Teacher Tom,,,,,,,,,,,,,
138,Class F,Mia Tucker,Teacher Tom,,,,,,,,,,,,,
139,Class F,Braylon Glenn,Teacher Tom,,,,,,,,,,,,,
140,Class F,Deon Black,Teacher Tom,,,,,,,,,,,,,
141,Class F,Adam Steele,Teacher Tom,,,,,,,,,,,,,
142,Class F,Skye Carey,Teacher Tom,,,,,,,,,,,,,
143,Class F,Giana Barnes,Teacher Tom,,,,,,,,,,,,,
144,Class F,Abagail Proctor,Teacher Tom,,,,,,,,,,,,,
145,Class F,Clayton Bradshaw,Teacher Tom,,,,,,,,,,,,,
146,Class F,Gwendolyn Velez,Teacher Tom,,,,,,,,,,,,,
225,Class J,Lucia Pennington,Teacher Tom,,,,,,,,,,,,,
226,Class J,Crystal Ward,Teacher Tom,,,,,,,,,,,,,
227,Class J,Joshua Garrett,Teacher Tom,,,,,,,,,,,,,
228,Class J,Wesley Colon,Teacher Tom,,,,,,,,,,,,,
229,Class J,Skyler Patel,Teacher Tom,,,,,,,,,,,,,
230,Class J,Francisco Haley,Teacher Tom,,,,,,,,,,,,,
231,Class J,Clay Giles,Teacher Tom,,,,,,,,,,,,,
232,Class J,Davion Wong,Teacher Tom,,,,,,,,,,,,,
233,Class J,Emilio Craig,Teacher Tom,,,,,,,,,,,,,
234,Class J,Barrett Madden,Teacher Tom,,,,,,,,,,,,,
235,Class J,Kayden Morton,Teacher Tom,,,,,,,,,,,,,
236,Class J,Arthur Drake,Teacher Tom,,,,,,,,,,,,,
237,Class J,Guillermo Osborn,Teacher Tom,,,,,,,,,,,,,
238,Class J,Maximus Odom,Teacher Tom,,,,,,,,,,,,,
239,Class J,Dayana Chapman,Teacher Tom,,,,,,,,,,,,,
240,Class J,Micheal Hampton,Teacher Tom,,,,,,,,,,,,,
241,Class J,Jaylen Blake,Teacher Tom,,,,,,,,,,,,,
242,Class J,Jordyn Pitts,Teacher Tom,,,,,,,,,,,,,
243,Class J,Kristina Reese,Teacher Tom,,,,,,,,,,,,,
244,Class J,Marlene Romero,Teacher Tom,,,,,,,,,,,,,
245,Class J,Humberto Curtis,Teacher Tom,,,,,,,,,,,,,
246,Class J,Jayvon Watkins,Teacher Tom,,,,,,,,,,,,,
247,Class J,Joseph Mccann,Teacher Tom,,,,,,,,,,,,,
248,Class J,Luke Walker,Teacher Tom,,,,,,,,,,,,,
249,Class J,Maya Trujillo,Teacher Tom,,,,,,,,,,,,,
250,Class J,Maxwell Salinas,Teacher Tom,,,,,,,,,,,,,
